Список государственных ведомств,,,,,
Ведомство,Департамент,Должность,Имя,Начало работы,Конец работы
,,Заместитель министра,Сенин Виктор Константинович,май 2000 г.,?
,,Заместитель министра,Пивоваров Александр Александрович,июнь 2000 г.,декабрь 2001 г.
,,Заместитель министра,Княжев Владимир Александрович,сентябрь 2000 г.,?
Министерство промышленности и энергетики РФ,,Министр промышленности и энергетики РФ,Христенко Виктор Борисович,9 марта 2004,12 мая 2008
,,Первый заместитель министра,Тропко Леонид Александрович,июль 2001 г.,июнь 2004 г.
,,Статс-секретарь — заместитель министра,Яновский Анатолий Борисович,июль 2000 г.,апрель 2002 г.
Министерство промышленности и торговли РФ,,Министр промышленности и торговли РФ,Христенко Виктор Борисович,12 мая 2008,31 января 2012
,,Министр промышленности и торговли РФ,Мантуров Денис Валентинович,21 мая 2012,14 мая 2024
,,Министр промышленности и торговли РФ,"Алиханов, Антон Андреевич",c 14 мая 2024,
,,Первый заместитель министра,Никитин Глеб Сергеевич,25 июня 2013 г.,
,,Заместитель министра,Цыб Сергей Анатольевич,7 октября 2013 г.,2018 г.
,,Первый заместитель министра,,26 мая 2018 г.,12 апреля 2021 г.
,,Заместитель министра,Осьмаков Василий Сергеевич,2016 г.,2021 г.
,,Заместитель министра,Юрин Михаил Николаевич,31 марта 2023 г.,
,,Статс-секретарь - заместитель министра,Евтухов Виктор Леонидович,сентябрь 2012 г.,июнь 2024 г.
,,Статс-секретарь - заместитель министра,Чекушов Роман Андреевич,2024 г.,
,,Заместитель министра,Груздев Алексей Владимирович,21 июня 2018 г.,
,,Заместитель министра,Иванов Михаил Игоревич,13 января 2020 г.,
,,Заместитель министра,Шпак Василий Викторович,12 апреля 2021 г.,
,,Заместитель министра,Каримов Альберт Анварович,16 мая 2022 г.,
,,Заместитель министра,Лысогорский Кирилл Алексеевич,31 октября 2022 г.,
,,Заместитель министра,Приезжева Екатерина Геннадьевна,10 января 2023 г.,
,,Заместитель министра,"Куликов Иван
 Алексеевич",6 июня 2024 г.,
,,Заместитель министра,Абраменков Геннадий Владимирович,19 февраля 2025 г.,
,,Заместитель министра,Каламанов Георгий Владимирович,10 июня 2010 г.,5 августа 2019 г.
,,Заместитель министра,Кадырова Гульназ Маннуровна,14 мая 2014,9 января 2023
,,Заместитель министра,Потапов Александр Валерьевич,7 июля 2014,1 марта 2017
,,Заместитель министра,Дутов Андрей Владимирович,16 июля 2014,27 августа 2015
,,Заместитель министра,Богинский Андрей Иванович,5 февраля 2015,январь 2017 г.
,,Заместитель министра,Морозов Александр Николаевич,16 июля 2015,июнь 2022
,,Заместитель министра,Овсянников Дмитрий Владимирович,24 декабря 2015,28 июля 2016 г.
,,Заместитель министра,Рязанцев Олег Николаевич,16 марта 2017,31 октября 2022
,,Заместитель министра,Беспрозванных Алексей Сергеевич,22 ноября 2017,15 мая 2024
,,Заместитель министра,Ученов Алексей Александрович,12 апреля 2021,25 марта 2023
,,Заместитель министра,Бочаров Олег Евгеньевич,22 февраля 2017,19 февраля 2025
,Административный департамент,Директор департамента,Камчатный Сергей Сергеевич,?,
,Административный департамент,Директор департамента,Заболотный Александр Александрович,декабрь 2019 г.,
,Департамент авиационной промышленности,Директор департамента,Панина Анна Григорьевна,2021 г.,
,Департамент авиационной промышленности,Директор департамента,Бабкин Владимир Иванович,?,
,Департамент авиационной промышленности,Директор департамента,Лысогорский Дмитрий Алексеевич,декабрь 2019 г.,?
,Департамент автомобильной промышленности и железнодорожного машиностроения,Директор департамента,Парсаданян Тигран Геворкович,июнь 2023 г.,
,Департамент автомобильной промышленности и железнодорожного машиностроения,,Пак Денис Климентьевич,2017 г.,2022 г.
,Департамент бюджетной политики и финансов,Директор департамента,Труфанов Максим Юрьевич,декабрь 2019 г.,
,Департамент защиты государственной тайны,Директор департамента,Илларионов Игорь Валентинович,май 2015 г.,
,Департамент легкой промышленности и лесопромышленного комплекса,Директор департамента,Кусков Дмитрий Александрович,октябрь 2024 г.,
,Департамент легкой промышленности и лесопромышленного комплекса,Директор департамента,Хмырова Вера Геннадьевна,2021 г.,октябрь 2024 г.
,Департамент машиностроения для топливно-энергетического комплекса,Директор департамента,Кузнецов Михаил Викторович,2022 г.,ноябрь 2025 г.
